disease,disease index,gene,gene index
glioblastoma,28,84759,9140
glioblastoma multiforme,29,84759,9140
glioma,30,84759,9140
multiple sclerosis,48,84769,9141
diabetes mellitus,19,84787,9142
colorectal cancer,16,84790,9143
gastric cancer,26,84790,9143
cervical cancer,11,84791,9144
cervical cancer,11,84793,9145
glioblastoma,28,84793,9145
glioblastoma multiforme,29,84793,9145
glioma,30,84793,9145
osteosarcoma,56,84793,9145
papillary thyroid carcinoma,60,84793,9145
diabetes mellitus,19,84804,9146
coronary artery disease,17,84811,9147
heart disease,31,84811,9147
hypertension,36,84812,9148
papillary thyroid carcinoma,60,84816,9149
multiple sclerosis,48,84818,9150
prostate cancer,63,84818,9150
rheumatoid arthritis,65,84818,9150
acute promyelocytic leukemia,2,84823,9151
diabetes mellitus,19,84823,9151
lupus nephritis,45,84824,9152
rheumatoid arthritis,65,84824,9152
atherosclerosis,5,84830,9153
cardiovascular disease,10,84830,9153
coronary artery disease,17,84830,9153
heart disease,31,84830,9153
myocardial infarction,50,84830,9153
diabetes mellitus,19,84833,9154
major depressive disorder,46,84833,9154
glioblastoma,28,84844,9155
glioblastoma multiforme,29,84844,9155
glioblastoma,28,84864,9156
glioblastoma multiforme,29,84864,9156
alzheimer's disease,4,84867,9157
diabetes mellitus,19,84867,9157
osteoarthritis,55,84867,9157
acute myeloid leukemia,1,84868,9158
acute promyelocytic leukemia,2,84868,9158
atherosclerosis,5,84868,9158
cervical cancer,11,84868,9158
diabetes mellitus,19,84868,9158
glioblastoma,28,84868,9158
glioblastoma multiforme,29,84868,9158
glioma,30,84868,9158
hepatocellular carcinoma,34,84868,9158
lupus nephritis,45,84868,9158
multiple sclerosis,48,84868,9158
nonalcoholic steatohepatitis,52,84868,9158
osteosarcoma,56,84868,9158
prostate cancer,63,84868,9158
rheumatoid arthritis,65,84868,9158
tuberculosis,69,84868,9158
pancreatic cancer,58,84869,9159
tuberculosis,69,84869,9159
glioblastoma,28,84870,9160
glioblastoma multiforme,29,84870,9160
major depressive disorder,46,84871,9161
hepatocellular carcinoma,34,84875,9162
atherosclerosis,5,84876,9163
diabetes mellitus,19,84876,9163
glioblastoma,28,84876,9163
glioblastoma multiforme,29,84876,9163
glioma,30,84876,9163
major depressive disorder,46,84876,9163
osteosarcoma,56,84876,9163
rheumatoid arthritis,65,84876,9163
alzheimer's disease,4,84879,9164
rheumatoid arthritis,65,84883,9165
alzheimer's disease,4,84888,9166
breast cancer,9,84890,9167
cardiovascular disease,10,84890,9167
cervical cancer,11,84890,9167
hypertension,36,84890,9167
myocardial infarction,50,84890,9167
alzheimer's disease,4,84894,9168
glioblastoma,28,84894,9168
hypertension,36,84894,9168
major depressive disorder,46,84894,9168
multiple sclerosis,48,84894,9168
cervical cancer,11,84896,9169
colorectal cancer,16,84896,9169
coronary artery disease,17,84896,9169
myocardial infarction,50,84896,9169
tuberculosis,69,84896,9169
diabetes mellitus,19,84898,9170
diabetic retinopathy,20,84898,9170
alzheimer's disease,4,84900,9171
rheumatoid arthritis,65,84902,9172
heart disease,31,84909,9173
acute myeloid leukemia,1,84911,9174
hypertension,36,84913,9175
major depressive disorder,46,84915,9176
diabetes mellitus,19,84919,9177
clear cell renal cell carcinoma,14,84925,9178
breast cancer,9,84930,9179
cervical cancer,11,84934,9180
diabetic retinopathy,20,84937,9181
alzheimer's disease,4,84938,9182
glioma,30,84938,9182
tuberculosis,69,84938,9182
coronary artery disease,17,84940,9183
atherosclerosis,5,84941,9184
acne,0,84959,9185
alzheimer's disease,4,84959,9185
breast cancer,9,84959,9185
cardiovascular disease,10,84959,9185
diabetes mellitus,19,84959,9185
infantile hemangioma,39,84959,9185
rheumatoid arthritis,65,84959,9185
cervical cancer,11,84962,9186
glioblastoma,28,84962,9186
glioblastoma multiforme,29,84962,9186
glioma,30,84962,9186
diabetes mellitus,19,84966,9187
diabetic retinopathy,20,84966,9187
colorectal cancer,16,84969,9188
major depressive disorder,46,84969,9188
diabetic retinopathy,20,84970,9189
glioma,30,84971,9190
cervical cancer,11,84973,9191
coronary artery disease,17,84973,9191
diabetic retinopathy,20,84973,9191
glioblastoma,28,84973,9191
glioblastoma multiforme,29,84973,9191
osteosarcoma,56,84973,9191
heart disease,31,84978,9192
cholangiocarcinoma,13,84981,9193
gastric cancer,26,84981,9193
major depressive disorder,46,84983,9194
myocardial infarction,50,84984,9195
hypertrophic cardiomyopathy,37,84987,9196
prostate cancer,63,84987,9196
diabetes mellitus,19,84991,9197
glioma,30,84991,9197
hirschsprung disease,35,84992,9198
rheumatoid arthritis,65,85025,9199
cervical cancer,11,85028,9200
glioma,30,85028,9200
osteosarcoma,56,85028,9200
papillary thyroid carcinoma,60,85028,9200
alzheimer's disease,4,85236,9201
glioblastoma,28,85236,9201
alzheimer's disease,4,85300,9202
coronary artery disease,17,85302,9203
rheumatoid arthritis,65,85313,9204
lupus nephritis,45,85318,9205
acne,0,85320,9206
acute promyelocytic leukemia,2,85320,9206
atherosclerosis,5,85320,9206
diabetes mellitus,19,85320,9206
diabetic retinopathy,20,85320,9206
lupus nephritis,45,85320,9206
myocardial infarction,50,85320,9206
rheumatoid arthritis,65,85320,9206
acute promyelocytic leukemia,2,85329,9207
cardiovascular disease,10,85340,9208
diabetes mellitus,19,85340,9208
breast cancer,9,85348,9209
alzheimer's disease,4,85358,9210
pancreatic ductal adenocarcinoma,59,85360,9211
coronary artery disease,17,85363,9212
multiple sclerosis,48,85363,9212
glioblastoma,28,85365,9213
glioblastoma multiforme,29,85365,9213
hypertrophic cardiomyopathy,37,85366,9214
alzheimer's disease,4,85388,9215
glioblastoma,28,85388,9215
glioblastoma multiforme,29,85388,9215
lung cancer,44,85388,9215
non-small cell lung cancer,53,85388,9215
alzheimer's disease,4,85389,9216
glioblastoma,28,85389,9216
glioblastoma multiforme,29,85389,9216
glioma,30,85389,9216
lung cancer,44,85389,9216
non-small cell lung cancer,53,85389,9216
alzheimer's disease,4,85390,9217
glioblastoma,28,85390,9217
glioblastoma multiforme,29,85390,9217
glioma,30,85390,9217
lung cancer,44,85390,9217
non-small cell lung cancer,53,85390,9217
alzheimer's disease,4,85391,9218
glioblastoma,28,85391,9218
glioblastoma multiforme,29,85391,9218
glioma,30,85391,9218
lung cancer,44,85391,9218
non-small cell lung cancer,53,85391,9218
prostate cancer,63,85397,9219
hepatocellular carcinoma,34,85406,9220
rheumatoid arthritis,65,85406,9220
acute myeloid leukemia,1,85407,9221
diabetes mellitus,19,85407,9221
glioblastoma,28,85407,9221
glioblastoma multiforme,29,85407,9221
hepatoblastoma,33,85407,9221
osteosarcoma,56,85407,9221
glioblastoma,28,85409,9222
osteosarcoma,56,85409,9222
colorectal cancer,16,85413,9223
diabetes mellitus,19,85413,9223
major depressive disorder,46,85413,9223
colorectal cancer,16,85415,9224
glioblastoma,28,85415,9224
glioblastoma multiforme,29,85415,9224
glioma,30,85415,9224
prostate cancer,63,85415,9224
glioma,30,85416,9225
osteosarcoma,56,85417,9226
papillary thyroid carcinoma,60,85439,9227
cardiovascular disease,10,85440,9228
coronary artery disease,17,85440,9228
glioblastoma,28,85440,9228
glioblastoma multiforme,29,85440,9228
heart disease,31,85440,9228
atherosclerosis,5,85443,9229
rheumatoid arthritis,65,85443,9229
prostate cancer,63,85445,9230
essential hypertension,25,85449,9231
hypertension,36,85449,9231
lupus nephritis,45,85450,9232
glioma,30,85453,9233
glioma,30,85458,9234
colorectal cancer,16,85461,9235
coronary artery disease,17,85465,9236
hepatoblastoma,33,85465,9236
atherosclerosis,5,85476,9237
glioblastoma,28,85476,9237
glioblastoma multiforme,29,85476,9237
prostate cancer,63,85477,9238
heart disease,31,85479,9239
atherosclerosis,5,85480,9240
cervical cancer,11,85480,9240
coronary artery disease,17,85480,9240
diabetes mellitus,19,85480,9240
heart disease,31,85480,9240
multiple sclerosis,48,85480,9240
myocardial infarction,50,85480,9240
pancreatic ductal adenocarcinoma,59,85480,9240
rheumatoid arthritis,65,85480,9240
alzheimer's disease,4,85495,9241
tuberculosis,69,85502,9242
diabetes mellitus,19,85569,9243
alzheimer's disease,4,87769,9244
tuberculosis,69,89122,9245
alzheimer's disease,4,89780,9246
atherosclerosis,5,89780,9246
cholangiocarcinoma,13,89780,9246
colorectal cancer,16,89780,9246
coronary artery disease,17,89780,9246
diabetes mellitus,19,89780,9246
glioblastoma,28,89780,9246
glioblastoma multiforme,29,89780,9246
glioma,30,89780,9246
hirschsprung disease,35,89780,9246
myocardial infarction,50,89780,9246
osteosarcoma,56,89780,9246
prostate cancer,63,89780,9246
basal cell carcinoma,6,89782,9247
breast cancer,9,89782,9247
glioblastoma,28,89782,9247
glioblastoma multiforme,29,89782,9247
osteosarcoma,56,89782,9247
papillary thyroid carcinoma,60,89782,9247
rheumatoid arthritis,65,89782,9247
alzheimer's disease,4,89795,9248
major depressive disorder,46,89795,9248
cardiovascular disease,10,89796,9249
alzheimer's disease,4,89797,9250
rheumatoid arthritis,65,89797,9250
alzheimer's disease,4,89832,9251
acute myeloid leukemia,1,89845,9252
coronary artery disease,17,89845,9252
multiple sclerosis,48,89849,9253
lupus nephritis,45,89870,9254
rheumatoid arthritis,65,89870,9254
alzheimer's disease,4,89887,9255
myocardial infarction,50,89910,9256
osteoarthritis,55,89910,9256
infantile hemangioma,39,89932,9257
heart disease,31,89941,9258
cervical cancer,11,89953,9259
alzheimer's disease,4,90050,9260
coronary artery disease,17,90134,9261
multiple sclerosis,48,90134,9261
cardiovascular disease,10,90226,9262
diabetes mellitus,19,90226,9262
hypertension,36,90226,9262
lung cancer,44,90226,9262
non-small cell lung cancer,53,90226,9262
rheumatoid arthritis,65,90226,9262
glioma,30,90249,9263
diabetes mellitus,19,90273,9264
prostate cancer,63,90316,9265
coronary artery disease,17,90324,9266
alzheimer's disease,4,90332,9267
coronary artery disease,17,90332,9267
diabetes mellitus,19,90332,9267
gastric cancer,26,90338,9268
myocardial infarction,50,90338,9268
coronary artery disease,17,90355,9269
glioblastoma,28,90355,9269
glioblastoma multiforme,29,90355,9269
multiple sclerosis,48,90355,9269
rheumatoid arthritis,65,90355,9269
prostate cancer,63,90362,9270
atherosclerosis,5,90378,9271
coronary artery disease,17,90411,9272
heart disease,31,90411,9272
diabetes mellitus,19,90417,9273
diabetes mellitus,19,90427,9274
alzheimer's disease,4,90480,9275
diabetes mellitus,19,90480,9275
osteosarcoma,56,90480,9275
rheumatoid arthritis,65,90480,9275
alzheimer's disease,4,90525,9276
glioblastoma,28,90527,9277
glioblastoma multiforme,29,90527,9277
alzheimer's disease,4,90550,9278
diabetes mellitus,19,90550,9278
hypertension,36,90550,9278
hypertension,36,90625,9279
glioma,30,90627,9280
osteosarcoma,56,90627,9280
glioma,30,90632,9281
hepatocellular carcinoma,34,90632,9281
osteosarcoma,56,90632,9281
cardiovascular disease,10,90637,9282
coronary artery disease,17,90665,9283
heart disease,31,90665,9283
osteosarcoma,56,90665,9283
alzheimer's disease,4,90678,9284
hirschsprung disease,35,90678,9284
tuberculosis,69,90678,9284
alzheimer's disease,4,90768,9285
colorectal cancer,16,90768,9285
diabetes mellitus,19,90780,9286
glioblastoma,28,90780,9286
glioblastoma multiforme,29,90780,9286
glioma,30,90780,9286
osteosarcoma,56,90826,9287
glioma,30,90853,9288
osteosarcoma,56,90853,9288
alzheimer's disease,4,90865,9289
atherosclerosis,5,90865,9289
cardiovascular disease,10,90865,9289
cervical cancer,11,90865,9289
cholangiocarcinoma,13,90865,9289
coronary artery disease,17,90865,9289
diabetes mellitus,19,90865,9289
glioma,30,90865,9289
heart disease,31,90865,9289
hypertension,36,90865,9289
lupus nephritis,45,90865,9289
major depressive disorder,46,90865,9289
multiple sclerosis,48,90865,9289
myocardial infarction,50,90865,9289
nonalcoholic steatohepatitis,52,90865,9289
osteosarcoma,56,90865,9289
pancreatic ductal adenocarcinoma,59,90865,9289
rheumatoid arthritis,65,90865,9289
tuberculosis,69,90865,9289
atherosclerosis,5,90952,9290
cardiovascular disease,10,90952,9290
alzheimer's disease,4,90993,9291
glioma,30,90993,9291
major depressive disorder,46,90993,9291
osteosarcoma,56,90993,9291
atherosclerosis,5,91039,9292
diabetes mellitus,19,91050,9293
cervical cancer,11,91057,9294
diabetes mellitus,19,91074,9295
diabetes mellitus,19,91107,9296
alzheimer's disease,4,91133,9297
hirschsprung disease,35,91147,9298
hypertension,36,91147,9298
alzheimer's disease,4,91289,9299
hepatoblastoma,33,91319,9300
myocardial infarction,50,91319,9300
glioblastoma,28,91419,9301
glioblastoma multiforme,29,91419,9301
glioma,30,91419,9301
papillary thyroid carcinoma,60,91452,9302
prostate cancer,63,91522,9303
glioma,30,91523,9304
atherosclerosis,5,91543,9305
alzheimer's disease,4,91544,9306
diabetes mellitus,19,91544,9306
esophageal cancer,23,91544,9306
alzheimer's disease,4,91584,9307
glioblastoma,28,91584,9307
glioblastoma multiforme,29,91584,9307
glioblastoma,28,91607,9308
glioblastoma multiforme,29,91607,9308
atherosclerosis,5,91624,9309
coronary artery disease,17,91624,9309
dilated cardiomyopathy,21,91624,9309
heart disease,31,91624,9309
hypertrophic cardiomyopathy,37,91624,9309
coronary artery disease,17,91647,9310
hypertrophic cardiomyopathy,37,91647,9310
colorectal cancer,16,91653,9311
hypertension,36,91653,9311
alzheimer's disease,4,91662,9312
coronary artery disease,17,91662,9312
glioblastoma,28,91662,9312
glioblastoma multiforme,29,91662,9312
glioma,30,91662,9312
heart disease,31,91662,9312
tuberculosis,69,91662,9312
diabetes mellitus,19,91749,9313
rheumatoid arthritis,65,91749,9313
alzheimer's disease,4,91752,9314
major depressive disorder,46,91752,9314
coronary artery disease,17,91754,9315
glioblastoma,28,91754,9315
glioblastoma multiforme,29,91754,9315
dilated cardiomyopathy,21,91807,9316
hypertension,36,91807,9316
alzheimer's disease,4,91828,9317
atherosclerosis,5,91833,9318
cervical cancer,11,91833,9318
cholangiocarcinoma,13,91833,9318
hepatoblastoma,33,91833,9318
hypertension,36,91833,9318
papillary thyroid carcinoma,60,91833,9318
prostate cancer,63,91833,9318
alzheimer's disease,4,91851,9319
heart disease,31,91851,9319
diabetes mellitus,19,91869,9320
cardiovascular disease,10,91937,9321
diabetes mellitus,19,91937,9321
heart disease,31,91937,9321
rheumatoid arthritis,65,91937,9321
diabetes mellitus,19,91942,9322
hypertrophic cardiomyopathy,37,91942,9322
diabetes mellitus,19,91947,9323
hypertrophic cardiomyopathy,37,91949,9324
diabetes mellitus,19,92002,9325
major depressive disorder,46,92017,9326
diabetes mellitus,19,92070,9327
atherosclerosis,5,92086,9328
coronary artery disease,17,92086,9328
diabetes mellitus,19,92086,9328
hepatocellular carcinoma,34,92086,9328
hypertension,36,92086,9328
nonalcoholic steatohepatitis,52,92086,9328
coronary artery disease,17,92105,9329
heart disease,31,92105,9329
multiple sclerosis,48,92105,9329
rheumatoid arthritis,65,92105,9329
silicosis,66,92105,9329
tuberculosis,69,92105,9329
diabetes mellitus,19,92126,9330
bladder cancer,7,92140,9331
breast cancer,9,92140,9331
cervical cancer,11,92140,9331
cholangiocarcinoma,13,92140,9331
glioblastoma,28,92140,9331
glioblastoma multiforme,29,92140,9331
glioma,30,92140,9331
lung cancer,44,92140,9331
nonalcoholic steatohepatitis,52,92140,9331
non-small cell lung cancer,53,92140,9331
osteosarcoma,56,92140,9331
pancreatic ductal adenocarcinoma,59,92140,9331
papillary thyroid carcinoma,60,92140,9331
rheumatoid arthritis,65,92140,9331
diabetes mellitus,19,92170,9332
hepatocellular carcinoma,34,92170,9332
tuberculosis,69,92170,9332
diabetes mellitus,19,92211,9333
papillary thyroid carcinoma,60,92249,9334
alzheimer's disease,4,92293,9335
glioblastoma,28,92304,9336
glioblastoma multiforme,29,92304,9336
alzheimer's disease,4,92335,9337
diabetes mellitus,19,92344,9338
diabetic retinopathy,20,92344,9338
diabetes mellitus,19,92345,9339
glioma,30,92345,9339
heart disease,31,92345,9339
rheumatoid arthritis,65,92345,9339
tuberculosis,69,92345,9339
breast cancer,9,92359,9340
major depressive disorder,46,92369,9341
alzheimer's disease,4,92521,9342
hypertension,36,92579,9343
heart disease,31,92689,9344
acute myeloid leukemia,1,92737,9345
alzheimer's disease,4,92737,9345
atherosclerosis,5,92737,9345
breast cancer,9,92737,9345
cardiovascular disease,10,92737,9345
cholangiocarcinoma,13,92737,9345
diabetes mellitus,19,92737,9345
glioblastoma,28,92737,9345
glioblastoma multiforme,29,92737,9345
glioma,30,92737,9345
hypertension,36,92737,9345
lung cancer,44,92737,9345
myocardial infarction,50,92737,9345
pancreatic ductal adenocarcinoma,59,92737,9345
prostate cancer,63,92737,9345
rheumatoid arthritis,65,92737,9345
diabetes mellitus,19,92745,9346
glioblastoma,28,92745,9346
glioblastoma multiforme,29,92745,9346
glioma,30,92745,9346
multiple sclerosis,48,92797,9347
osteosarcoma,56,92799,9348
diabetes mellitus,19,92840,9349
diabetes mellitus,19,92912,9350
glioblastoma,28,92979,9351
glioblastoma multiforme,29,92979,9351
myocardial infarction,50,92979,9351
papillary thyroid carcinoma,60,93035,9352
multiple sclerosis,48,93082,9353
glioblastoma,28,93100,9354
glioma,30,93100,9354
hirschsprung disease,35,93107,9355
breast cancer,9,93129,9356
alzheimer's disease,4,93166,9357
cardiovascular disease,10,93166,9357
coronary artery disease,17,93166,9357
diabetes mellitus,19,93166,9357
hypertrophic cardiomyopathy,37,93166,9357
hypertension,36,93183,9358
glioblastoma,28,93185,9359
glioblastoma multiforme,29,93185,9359
hirschsprung disease,35,93210,9360
bladder cancer,7,93492,9361
coronary artery disease,17,93492,9361
diabetes mellitus,19,93587,9362
atherosclerosis,5,93589,9363
alzheimer's disease,4,93649,9364
atherosclerosis,5,93649,9364
cardiovascular disease,10,93649,9364
coronary artery disease,17,93649,9364
heart disease,31,93649,9364
hypertrophic cardiomyopathy,37,93649,9364
myocardial infarction,50,93649,9364
osteosarcoma,56,93649,9364
glioma,30,93653,9365
acute promyelocytic leukemia,2,93659,9366
alzheimer's disease,4,93659,9366
diabetes mellitus,19,93659,9366
atherosclerosis,5,93663,9367
alzheimer's disease,4,93664,9368
cardiovascular disease,10,93664,9368
atherosclerosis,5,93978,9369
myocardial infarction,50,93978,9369
rheumatoid arthritis,65,93978,9369
tuberculosis,69,93978,9369
cervical cancer,11,93986,9370
diabetes mellitus,19,93986,9370
glioblastoma,28,93986,9370
glioblastoma multiforme,29,93986,9370
major depressive disorder,46,93986,9370
osteosarcoma,56,93986,9370
tuberculosis,69,93986,9370
osteosarcoma,56,94015,9371
atherosclerosis,5,94025,9372
breast cancer,9,94025,9372
cardiovascular disease,10,94025,9372
cervical cancer,11,94025,9372
cholangiocarcinoma,13,94025,9372
colorectal cancer,16,94025,9372
coronary artery disease,17,94025,9372
diabetes mellitus,19,94025,9372
gastric cancer,26,94025,9372
heart disease,31,94025,9372
hypertrophic cardiomyopathy,37,94025,9372
lung adenocarcinoma,43,94025,9372
myocardial infarction,50,94025,9372
pancreatic ductal adenocarcinoma,59,94025,9372
tuberculosis,69,94025,9372
major depressive disorder,46,94026,9373
colorectal cancer,16,94031,9374
hypertension,36,94031,9374
papillary thyroid carcinoma,60,94031,9374
alzheimer's disease,4,94033,9375
diabetes mellitus,19,94039,9376
diabetes mellitus,19,94081,9377
hypertension,36,94081,9377
tuberculosis,69,94081,9377
atherosclerosis,5,94103,9378
glioma,30,94103,9378
rheumatoid arthritis,65,94103,9378
acute promyelocytic leukemia,2,94115,9379
alzheimer's disease,4,94115,9379
diabetes mellitus,19,94115,9379
alzheimer's disease,4,94233,9380
coronary artery disease,17,94233,9380
diabetes mellitus,19,94233,9380
diabetic retinopathy,20,94233,9380
heart disease,31,94233,9380
hypertension,36,94233,9380
major depressive disorder,46,94233,9380
multiple sclerosis,48,94233,9380
tuberculosis,69,94233,9380
alzheimer's disease,4,94234,9381
cervical cancer,11,94234,9381
glioma,30,94234,9381
papillary thyroid carcinoma,60,94234,9381
alzheimer's disease,4,94241,9382
cervical cancer,11,94241,9382
diabetes mellitus,19,94241,9382
glioma,30,94241,9382
major depressive disorder,46,94241,9382
osteosarcoma,56,94241,9382
hirschsprung disease,35,95681,9383
alzheimer's disease,4,96459,9384
cholangiocarcinoma,13,96610,9385
rheumatoid arthritis,65,96610,9385
silicosis,66,96610,9385
tuberculosis,69,96764,9386
dilated cardiomyopathy,21,103910,9387
heart disease,31,103910,9387
hypertrophic cardiomyopathy,37,103910,9387
osteosarcoma,56,103910,9387
glioma,30,112398,9388
atherosclerosis,5,112399,9389
glioma,30,112399,9389
intervertebral disc degeneration,40,112399,9389
myocardial infarction,50,112399,9389
osteosarcoma,56,112399,9389
pancreatic ductal adenocarcinoma,59,112399,9389
prostate cancer,63,112399,9389
diabetes mellitus,19,112401,9390
major depressive disorder,46,112464,9391
acute promyelocytic leukemia,2,112476,9392
alzheimer's disease,4,112476,9392
cervical cancer,11,112476,9392
cholangiocarcinoma,13,112476,9392
diabetes mellitus,19,112476,9392
diabetic retinopathy,20,112476,9392
glioblastoma,28,112476,9392
glioblastoma multiforme,29,112476,9392
glioma,30,112476,9392
heart disease,31,112476,9392
multiple sclerosis,48,112476,9392
myocardial infarction,50,112476,9392
osteosarcoma,56,112476,9392
prostate cancer,63,112476,9392
rheumatoid arthritis,65,112476,9392
tuberculosis,69,112476,9392
glioblastoma,28,112483,9393
glioblastoma multiforme,29,112483,9393
bladder cancer,7,112597,9394
cardiovascular disease,10,112597,9394
cervical cancer,11,112597,9394
glioblastoma,28,112597,9394
glioblastoma multiforme,29,112597,9394
glioma,30,112597,9394
hepatocellular carcinoma,34,112597,9394
hypertrophic cardiomyopathy,37,112597,9394
infantile hemangioma,39,112597,9394
osteosarcoma,56,112597,9394
papillary thyroid carcinoma,60,112597,9394
cervical cancer,11,112616,9395
atherosclerosis,5,112744,9396
cervical cancer,11,112744,9396
coronary artery disease,17,112744,9396
diabetes mellitus,19,112744,9396
heart disease,31,112744,9396
hepatocellular carcinoma,34,112744,9396
lupus nephritis,45,112744,9396
multiple sclerosis,48,112744,9396
myocardial infarction,50,112744,9396
osteoarthritis,55,112744,9396
rheumatoid arthritis,65,112744,9396
silicosis,66,112744,9396
tuberculosis,69,112744,9396
alzheimer's disease,4,112752,9397
alzheimer's disease,4,112755,9398
diabetes mellitus,19,112869,9399
major depressive disorder,46,112885,9400
prostate cancer,63,112885,9400
alzheimer's disease,4,112939,9401
cervical cancer,11,112939,9401
heart disease,31,113026,9402
glioblastoma,28,113115,9403
glioblastoma multiforme,29,113115,9403
alzheimer's disease,4,113130,9404
cardiovascular disease,10,113130,9404
diabetes mellitus,19,113130,9404
glioma,30,113130,9404
osteosarcoma,56,113130,9404
pancreatic ductal adenocarcinoma,59,113130,9404
rheumatoid arthritis,65,113130,9404
tuberculosis,69,113130,9404
pancreatic ductal adenocarcinoma,59,113146,9405
papillary thyroid carcinoma,60,113146,9405
rheumatoid arthritis,65,113174,9406
heart disease,31,113220,9407
diabetes mellitus,19,113235,9408
glioblastoma,28,113235,9408
glioma,30,113235,9408
rheumatoid arthritis,65,113235,9408
osteosarcoma,56,113251,9409
heart disease,31,113263,9410
osteosarcoma,56,113263,9410
rheumatoid arthritis,65,113263,9410
cervical cancer,11,113278,9411
glioma,30,113278,9411
alzheimer's disease,4,113451,9412
cervical carcinoma,12,113451,9412
cholangiocarcinoma,13,113451,9412
diabetes mellitus,19,113451,9412
diabetic retinopathy,20,113451,9412
glioblastoma,28,113451,9412
glioblastoma multiforme,29,113451,9412
glioma,30,113451,9412
lung cancer,44,113451,9412
myocardial infarction,50,113451,9412
non-small cell lung cancer,53,113451,9412
alzheimer's disease,4,113452,9413
cardiovascular disease,10,113452,9413
cervical cancer,11,113452,9413
coronary artery disease,17,113452,9413
diabetes mellitus,19,113452,9413
heart disease,31,113452,9413
myocardial infarction,50,113452,9413
cardiovascular disease,10,113457,9414
osteosarcoma,56,113510,9415
glioblastoma,28,113540,9416
glioblastoma multiforme,29,113540,9416
basal cell carcinoma,6,113746,9417
glioma,30,113828,9418
lung cancer,44,113828,9418
non-small cell lung cancer,53,113828,9418
papillary thyroid carcinoma,60,113828,9418
diabetes mellitus,19,113835,9419
glioblastoma,28,114038,9420
glioblastoma multiforme,29,114038,9420
glioma,30,114038,9420
papillary thyroid carcinoma,60,114038,9420
colon cancer,15,114041,9421
glioblastoma,28,114044,9422
glioblastoma multiforme,29,114044,9422
glioma,30,114044,9422
papillary thyroid carcinoma,60,114044,9422
alzheimer's disease,4,114086,9423
diabetes mellitus,19,114086,9423
hypertension,36,114086,9423
lupus nephritis,45,114086,9423
rheumatoid arthritis,65,114086,9423
tuberculosis,69,114086,9423
glioblastoma,28,114088,9424
glioblastoma multiforme,29,114088,9424
cardiovascular disease,10,114112,9425
diabetes mellitus,19,114112,9425
hypertension,36,114112,9425
myocardial infarction,50,114112,9425
alzheimer's disease,4,114131,9426
diabetes mellitus,19,114131,9426
diabetic retinopathy,20,114131,9426
glioma,30,114131,9426
major depressive disorder,46,114131,9426
rheumatoid arthritis,65,114131,9426
tuberculosis,69,114134,9427
glioma,30,114294,9428
diabetes mellitus,19,114475,9429
acne,0,114548,9430
alzheimer's disease,4,114548,9430
atherosclerosis,5,114548,9430
basal cell carcinoma,6,114548,9430
cardiovascular disease,10,114548,9430
cholangiocarcinoma,13,114548,9430
coronary artery disease,17,114548,9430
diabetes mellitus,19,114548,9430
diabetic retinopathy,20,114548,9430
essential hypertension,25,114548,9430
glioblastoma,28,114548,9430
glioma,30,114548,9430
heart disease,31,114548,9430
hepatoblastoma,33,114548,9430
hypertension,36,114548,9430
intervertebral disc degeneration,40,114548,9430
lupus nephritis,45,114548,9430
major depressive disorder,46,114548,9430
multiple sclerosis,48,114548,9430
myocardial infarction,50,114548,9430
neuropathic pain,51,114548,9430
nonalcoholic steatohepatitis,52,114548,9430
osteoarthritis,55,114548,9430
rheumatoid arthritis,65,114548,9430
silicosis,66,114548,9430
tuberculosis,69,114548,9430
glioma,30,114569,9431
papillary thyroid carcinoma,60,114569,9431
cardiovascular disease,10,114609,9432
diabetes mellitus,19,114609,9432
glioblastoma,28,114609,9432
glioblastoma multiforme,29,114609,9432
rheumatoid arthritis,65,114609,9432
tuberculosis,69,114609,9432
acute myeloid leukemia,1,114614,9433
cholangiocarcinoma,13,114614,9433
glioblastoma,28,114614,9433
glioblastoma multiforme,29,114614,9433
glioma,30,114614,9433
rheumatoid arthritis,65,114614,9433
tuberculosis,69,114614,9433
atherosclerosis,5,114757,9434
cardiovascular disease,10,114757,9434
diabetes mellitus,19,114757,9434
glioblastoma,28,114757,9434
glioblastoma multiforme,29,114757,9434
glioma,30,114757,9434
osteosarcoma,56,114757,9434
multiple sclerosis,48,114769,9435
colorectal cancer,16,114781,9436
glioma,30,114784,9437
major depressive disorder,46,114784,9437
papillary thyroid carcinoma,60,114786,9438
rheumatoid arthritis,65,114788,9439
glioblastoma,28,114794,9440
glioblastoma multiforme,29,114794,9440
myocardial infarction,50,114798,9441
alzheimer's disease,4,114799,9442
diabetes mellitus,19,114803,9443
diabetic retinopathy,20,114803,9443
prostate cancer,63,114803,9443
alzheimer's disease,4,114815,9444
diabetes mellitus,19,114815,9444
heart disease,31,114818,9445
major depressive disorder,46,114818,9445
heart disease,31,114821,9446
atherosclerosis,5,114876,9447
diabetes mellitus,19,114876,9447
alzheimer's disease,4,114880,9448
diabetes mellitus,19,114881,9449
atherosclerosis,5,114882,9450
cholangiocarcinoma,13,114882,9450
diabetes mellitus,19,114882,9450
cardiovascular disease,10,114885,9451
atherosclerosis,5,114897,9452
coronary artery disease,17,114897,9452
diabetes mellitus,19,114897,9452
glioblastoma,28,114897,9452
glioblastoma multiforme,29,114897,9452
heart disease,31,114897,9452
cardiovascular disease,10,114899,9453
